Regioncode,Regionname,Localauthoritycode,Localauthorityname,OwnedOutright,OwnedwithMortgageorLoan,PrivateRent,SocialRent
E12000001,North East,E06000001,Hartlepool,30.72,28.33,18.19,22.76
E12000001,North East,E06000002,Middlesbrough,29.37,26.6,20.02,24.01
E12000001,North East,E06000003,Redcar and Cleveland,36.42,29.06,15.62,18.9
E12000001,North East,E06000004,Stockton-on-Tees,33.49,34.05,16.43,16.03
E12000001,North East,E06000005,Darlington,32.65,30.26,21.11,15.98
E12000001,North East,E06000047,County Durham,34.33,30.02,15.93,19.72
E12000001,North East,E06000057,Northumberland,36.96,28.79,17.47,16.78
E12000001,North East,E08000021,Newcastle upon Tyne,25.72,24.17,22.32,27.79
E12000001,North East,E08000022,North Tyneside,31.63,31.82,15.46,21.09
E12000001,North East,E08000023,South Tyneside,28.85,28.01,13,30.14
E12000001,North East,E08000024,Sunderland,30.2,28.25,14.86,26.69
E12000001,North East,E08000037,Gateshead,29.54,28.54,15.61,26.31
E12000002,North West,E06000006,Halton,30.95,31.95,12.57,24.53
E12000002,North West,E06000007,Warrington,35.81,34.55,13.87,15.77
E12000002,North West,E06000008,Blackburn with Darwen,34.32,28.28,18.43,18.97
E12000002,North West,E06000009,Blackpool,33.69,27.99,28.16,10.16
E12000002,North West,E06000049,Cheshire East,40.86,32.04,15.31,11.79
E12000002,North West,E06000050,Cheshire West and Chester,38.06,31.49,15.37,15.08
E12000002,North West,E07000026,Allerdale,42.27,26.18,12.98,18.57
E12000002,North West,E07000027,Barrow-in-Furness,40.35,32.03,17.16,10.46
E12000002,North West,E07000028,Carlisle,38.27,29.79,17.45,14.49
E12000002,North West,E07000029,Copeland,40.45,29.65,11.82,18.08
E12000002,North West,E07000030,Eden,46.21,24.49,19.8,9.5
E12000002,North West,E07000031,South Lakeland,47.88,25.57,17.81,8.74
E12000002,North West,E07000117,Burnley,34.43,28.79,21.77,15.01
E12000002,North West,E07000118,Chorley,39.01,34.45,12.88,13.66
E12000002,North West,E07000119,Fylde,43.6,28.54,20.05,7.81
E12000002,North West,E07000120,Hyndburn,36.44,29.51,20.54,13.51
E12000002,North West,E07000121,Lancaster,39.22,28.98,21.48,10.32
E12000002,North West,E07000122,Pendle,39.13,28.29,21.03,11.55
E12000002,North West,E07000123,Preston,32.05,28.67,20.96,18.32
E12000002,North West,E07000124,Ribble Valley,44.98,30.35,16.75,7.92
E12000002,North West,E07000125,Rossendale,35.24,33.01,17.14,14.61
E12000002,North West,E07000126,South Ribble,41.35,36.1,12.07,10.48
E12000002,North West,E07000127,West Lancashire,39.55,32.51,13.53,14.41
E12000002,North West,E07000128,Wyre,46.24,30.12,16.36,7.28
E12000002,North West,E08000001,Bolton,33.64,29.07,16.75,20.54
E12000002,North West,E08000002,Bury,35.37,32.63,16.73,15.27
E12000002,North West,E08000003,Manchester,18.51,21.18,30.69,29.62
E12000002,North West,E08000004,Oldham,33.4,29.81,15.03,21.76
E12000002,North West,E08000005,Rochdale,31.46,29.87,16.34,22.33
E12000002,North West,E08000006,Salford,25.79,26.04,22.17,26
E12000002,North West,E08000007,Stockport,38.81,33.47,14.13,13.59
E12000002,North West,E08000008,Tameside,31.58,30.86,15.98,21.58
E12000002,North West,E08000009,Trafford,36.1,32.74,15.62,15.54
E12000002,North West,E08000010,Wigan,35.23,32.23,14.89,17.65
E12000002,North West,E08000011,Knowsley,29.38,30.72,12.58,27.32
E12000002,North West,E08000012,Liverpool,24.84,23.56,25.91,25.69
E12000002,North West,E08000013,St. Helens,36.59,29.71,13.17,20.53
E12000002,North West,E08000014,Sefton,39.05,30.14,16.02,14.79
E12000002,North West,E08000015,Wirral,36.6,29.81,18.35,15.24
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",23.14,26.25,23.06,27.55
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,42.64,31.33,17,9.029999999999999
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,34.99,31.17,21,12.84
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,36.77,31.72,16.59,14.92
E12000003,Yorkshire and The Humber,E06000014,York,36.97,28.28,20.43,14.32
E12000003,Yorkshire and The Humber,E07000163,Craven,45.18,27.25,18.92,8.65
E12000003,Yorkshire and The Humber,E07000164,Hambleton,41.34,25.58,18.04,15.04
E12000003,Yorkshire and The Humber,E07000165,Harrogate,40.52,29.49,20.6,9.390000000000001
E12000003,Yorkshire and The Humber,E07000166,Richmondshire,36.36,23.06,23.87,16.71
E12000003,Yorkshire and The Humber,E07000167,Ryedale,44.12,23.09,20.9,11.89
E12000003,Yorkshire and The Humber,E07000168,Scarborough,41.99,24.07,22.39,11.55
E12000003,Yorkshire and The Humber,E07000169,Selby,38.37,35.12,14.25,12.26
E12000003,Yorkshire and The Humber,E08000016,Barnsley,34.21,29.7,16.07,20.02
E12000003,Yorkshire and The Humber,E08000017,Doncaster,34.49,29.92,18.1,17.49
E12000003,Yorkshire and The Humber,E08000018,Rotherham,33.74,29.93,14.57,21.76
E12000003,Yorkshire and The Humber,E08000019,Sheffield,30.91,27.81,18.28,23
E12000003,Yorkshire and The Humber,E08000032,Bradford,32.91,31.14,21.09,14.86
E12000003,Yorkshire and The Humber,E08000033,Calderdale,34.93,30.95,19.44,14.68
E12000003,Yorkshire and The Humber,E08000034,Kirklees,35.6,30.54,18.92,14.94
E12000003,Yorkshire and The Humber,E08000035,Leeds,29.72,28.51,21.03,20.74
E12000003,Yorkshire and The Humber,E08000036,Wakefield,32.86,30.47,14.16,22.51
E12000004,East Midlands,E06000015,Derby,33.38,28.63,19.16,18.83
E12000004,East Midlands,E06000016,Leicester,26.93,25.05,25.35,22.67
E12000004,East Midlands,E06000017,Rutland,41.02,27.07,17.77,14.14
E12000004,East Midlands,E06000018,Nottingham,24.36,23.99,26.02,25.63
E12000004,East Midlands,E07000032,Amber Valley,41.71,31.31,14.51,12.47
E12000004,East Midlands,E07000033,Bolsover,36.5,30.28,15.98,17.24
E12000004,East Midlands,E07000034,Chesterfield,36.15,27.7,14.84,21.31
E12000004,East Midlands,E07000035,Derbyshire Dales,46.81,25.69,15.84,11.66
E12000004,East Midlands,E07000036,Erewash,38.02,33.86,15.53,12.59
E12000004,East Midlands,E07000037,High Peak,39.03,32.46,16.08,12.43
E12000004,East Midlands,E07000038,North East Derbyshire,41.99,29.01,9.77,19.23
E12000004,East Midlands,E07000039,South Derbyshire,38.13,36.01,15.81,10.05
E12000004,East Midlands,E07000129,Blaby,42.15,37.19,12.36,8.300000000000001
E12000004,East Midlands,E07000130,Charnwood,39.29,32.08,16.57,12.06
E12000004,East Midlands,E07000131,Harborough,42.45,35.28,13.96,8.31
E12000004,East Midlands,E07000132,Hinckley and Bosworth,41.02,34.54,13.82,10.62
E12000004,East Midlands,E07000133,Melton,39.84,32.16,17.15,10.85
E12000004,East Midlands,E07000134,North West Leicestershire,38.82,33.45,13.99,13.74
E12000004,East Midlands,E07000135,Oadby and Wigston,46.06,33.59,12.37,7.98
E12000004,East Midlands,E07000136,Boston,36.69,26.56,17.87,18.88
E12000004,East Midlands,E07000137,East Lindsey,44.55,23.98,19.53,11.94
E12000004,East Midlands,E07000138,Lincoln,27.86,27.2,23.02,21.92
E12000004,East Midlands,E07000139,North Kesteven,40.16,31.85,15.98,12.01
E12000004,East Midlands,E07000140,South Holland,42.92,29.75,15.47,11.86
E12000004,East Midlands,E07000141,South Kesteven,37.56,31.93,17.65,12.86
E12000004,East Midlands,E07000142,West Lindsey,41.47,30.39,16.57,11.57
E12000004,East Midlands,E07000150,Corby,27.89,34.31,18.24,19.56
E12000004,East Midlands,E07000151,Daventry,37.16,33.77,14.94,14.13
E12000004,East Midlands,E07000152,East Northamptonshire,36.19,35.3,15.31,13.2
E12000004,East Midlands,E07000153,Kettering,34.06,33.98,17.81,14.15
E12000004,East Midlands,E07000154,Northampton,29.15,33.59,20.25,17.01
E12000004,East Midlands,E07000155,South Northamptonshire,38.87,36.7,14.18,10.25
E12000004,East Midlands,E07000156,Wellingborough,33.65,32.28,16.22,17.85
E12000004,East Midlands,E07000170,Ashfield,37.21,31.64,15.52,15.63
E12000004,East Midlands,E07000171,Bassetlaw,37.91,30.91,15.62,15.56
E12000004,East Midlands,E07000172,Broxtowe,40.35,31.29,16.46,11.9
E12000004,East Midlands,E07000173,Gedling,41.42,32.86,15.6,10.12
E12000004,East Midlands,E07000174,Mansfield,36.19,29.74,16.05,18.02
E12000004,East Midlands,E07000175,Newark and Sherwood,39.1,30.59,15.62,14.69
E12000004,East Midlands,E07000176,Rushcliffe,42.88,32.92,15.58,8.619999999999999
E12000005,West Midlands,E06000019,"Herefordshire, County of",42.93,25.96,17.64,13.47
E12000005,West Midlands,E06000020,Telford and Wrekin,32.01,32.94,17.12,17.93
E12000005,West Midlands,E06000021,Stoke-on-Trent,32.76,28.02,16.66,22.56
E12000005,West Midlands,E06000051,Shropshire,42.04,27.47,17.02,13.47
E12000005,West Midlands,E07000192,Cannock Chase,34.93,34.32,14.26,16.49
E12000005,West Midlands,E07000193,East Staffordshire,39.32,30.9,16.99,12.79
E12000005,West Midlands,E07000194,Lichfield,42.69,32.62,11.55,13.14
E12000005,West Midlands,E07000195,Newcastle-under-Lyme,39.49,30.4,12.69,17.42
E12000005,West Midlands,E07000196,South Staffordshire,43.77,31.49,10.67,14.07
E12000005,West Midlands,E07000197,Stafford,40.08,31.02,14.81,14.09
E12000005,West Midlands,E07000198,Staffordshire Moorlands,47.89,31.42,12.05,8.640000000000001
E12000005,West Midlands,E07000199,Tamworth,32.74,36.17,13.13,17.96
E12000005,West Midlands,E07000218,North Warwickshire,39.52,33.62,13.52,13.34
E12000005,West Midlands,E07000219,Nuneaton and Bedworth,37.39,33.47,14.39,14.75
E12000005,West Midlands,E07000220,Rugby,37.33,32.96,16.03,13.68
E12000005,West Midlands,E07000221,Stratford-on-Avon,42.85,29.62,14.78,12.75
E12000005,West Midlands,E07000222,Warwick,36.49,30.4,19.18,13.93
E12000005,West Midlands,E07000234,Bromsgrove,44.39,34.05,10.8,10.76
E12000005,West Midlands,E07000235,Malvern Hills,45.8,26.67,13.83,13.7
E12000005,West Midlands,E07000236,Redditch,30.77,34.38,13.67,21.18
E12000005,West Midlands,E07000237,Worcester,32.66,31.42,19.21,16.71
E12000005,West Midlands,E07000238,Wychavon,42.09,29.84,12.97,15.1
E12000005,West Midlands,E07000239,Wyre Forest,41.43,29.41,14.93,14.23
E12000005,West Midlands,E08000025,Birmingham,29.11,26.2,19.22,25.47
E12000005,West Midlands,E08000026,Coventry,32.99,27.94,21.48,17.59
E12000005,West Midlands,E08000027,Dudley,38.89,30.11,11.75,19.25
E12000005,West Midlands,E08000028,Sandwell,30.26,27.22,15.45,27.07
E12000005,West Midlands,E08000029,Solihull,41.58,32.35,11.57,14.5
E12000005,West Midlands,E08000030,Walsall,34.56,27.76,13.51,24.17
E12000005,West Midlands,E08000031,Wolverhampton,33.05,25.51,15.68,25.76
E12000006,East of England,E06000031,Peterborough,29.87,30.15,20.67,19.31
E12000006,East of England,E06000032,Luton,29.35,31.32,23.9,15.43
E12000006,East of England,E06000033,Southend-on-Sea,34.71,30.44,22.93,11.92
E12000006,East of England,E06000034,Thurrock,30.18,36.18,16.08,17.56
E12000006,East of England,E06000055,Bedford,35.04,30.63,17.66,16.67
E12000006,East of England,E06000056,Central Bedfordshire,36,36.1,14.3,13.6
E12000006,East of England,E07000008,Cambridge,28.69,21.55,27.05,22.71
E12000006,East of England,E07000009,East Cambridgeshire,36.35,32.88,16.56,14.21
E12000006,East of England,E07000010,Fenland,39.41,30.33,17.61,12.65
E12000006,East of England,E07000011,Huntingdonshire,35.97,34.43,15.94,13.66
E12000006,East of England,E07000012,South Cambridgeshire,38.94,33.01,14.45,13.6
E12000006,East of England,E07000066,Basildon,32.98,32.98,12.16,21.88
E12000006,East of England,E07000067,Braintree,34.67,33.62,15.29,16.42
E12000006,East of England,E07000068,Brentwood,42.49,33.27,13.71,10.53
E12000006,East of England,E07000069,Castle Point,47.1,34.57,12.87,5.46
E12000006,East of England,E07000070,Chelmsford,37.99,34.29,14.03,13.69
E12000006,East of England,E07000071,Colchester,35.8,30.45,20.08,13.67
E12000006,East of England,E07000072,Epping Forest,38.92,33,13.4,14.68
E12000006,East of England,E07000073,Harlow,25.55,31.82,12.96,29.67
E12000006,East of England,E07000074,Maldon,43.84,33.63,11.86,10.67
E12000006,East of England,E07000075,Rochford,45.53,35.89,10.44,8.140000000000001
E12000006,East of England,E07000076,Tendring,47.63,25.98,17.9,8.49
E12000006,East of England,E07000077,Uttlesford,38.23,33.52,15.64,12.61
E12000006,East of England,E07000095,Broxbourne,36.89,35.87,13.03,14.21
E12000006,East of England,E07000096,Dacorum,33.52,32.02,13.87,20.59
E12000006,East of England,E07000098,Hertsmere,35.55,32.59,14.74,17.12
E12000006,East of England,E07000099,North Hertfordshire,34.5,31.69,15.13,18.68
E12000006,East of England,E07000102,Three Rivers,38.39,34.01,12.68,14.92
E12000006,East of England,E07000103,Watford,28.6,33.47,21.34,16.59
E12000006,East of England,E07000143,Breckland,40.52,28.2,17.5,13.78
E12000006,East of England,E07000144,Broadland,46.47,31.59,12.37,9.57
E12000006,East of England,E07000145,Great Yarmouth,39.28,25.7,18.48,16.54
E12000006,East of England,E07000146,King's Lynn and West Norfolk,42.65,26.5,17.22,13.63
E12000006,East of England,E07000147,North Norfolk,49.13,22.5,17.24,11.13
E12000006,East of England,E07000148,Norwich,24.56,21.94,22.91,30.59
E12000006,East of England,E07000149,South Norfolk,44.08,30.32,13.58,12.02
E12000006,East of England,E07000200,Babergh,43.04,28.64,15.25,13.07
E12000006,East of England,E07000202,Ipswich,29.6,27.91,21.3,21.19
E12000006,East of England,E07000203,Mid Suffolk,43.33,31.89,13.8,10.98
E12000006,East of England,E07000240,St Albans,38.72,33.55,15.56,12.17
E12000006,East of England,E07000241,Welwyn Hatfield,30.38,27.95,15.63,26.04
E12000006,East of England,E07000242,East Hertfordshire,36.36,35.13,15.48,13.03
E12000006,East of England,E07000243,Stevenage,26.55,33.01,13.38,27.06
E12000006,East of England,E07000244,East Suffolk,44.82,26.75,16.25,12.18
E12000006,East of England,E07000245,West Suffolk,35.22,28.6,20.72,15.46
E12000007,London,E09000001,City of London,30.57,17.77,41.12,10.54
E12000007,London,E09000002,Barking and Dagenham,21.77,28.57,20.46,29.2
E12000007,London,E09000003,Barnet,32.54,27.53,27.61,12.32
E12000007,London,E09000004,Bexley,36.77,35.27,13.52,14.44
E12000007,London,E09000005,Brent,24.2,22.07,30.95,22.78
E12000007,London,E09000006,Bromley,37.53,33.34,15.43,13.7
E12000007,London,E09000007,Camden,19.94,14.63,31.84,33.59
E12000007,London,E09000008,Croydon,28.52,31.96,23.02,16.5
E12000007,London,E09000009,Ealing,26.83,26.71,28.75,17.71
E12000007,London,E09000010,Enfield,31.03,29.53,24.59,14.85
E12000007,London,E09000011,Greenwich,20.49,26.1,22.02,31.39
E12000007,London,E09000012,Hackney,11.46,17.22,30.57,40.75
E12000007,London,E09000013,Hammersmith and Fulham,19.75,18.78,32.96,28.51
E12000007,London,E09000014,Haringey,19.93,22.64,32.71,24.72
E12000007,London,E09000015,Harrow,35.33,30.84,23.69,10.14
E12000007,London,E09000016,Havering,39.9,33.77,12.78,13.55
E12000007,London,E09000017,Hillingdon,31.83,31.57,19.89,16.71
E12000007,London,E09000018,Hounslow,23.57,26.23,23.51,26.69
E12000007,London,E09000019,Islington,14.47,17.42,28.17,39.94
E12000007,London,E09000020,Kensington and Chelsea,26.78,13.44,37.24,22.54
E12000007,London,E09000021,Kingston upon Thames,32.33,32.53,24.2,10.94
E12000007,London,E09000022,Lambeth,14.44,21.22,29.85,34.49
E12000007,London,E09000023,Lewisham,18.72,26.26,25.97,29.05
E12000007,London,E09000024,Merton,29.82,30.51,26.1,13.57
E12000007,London,E09000025,Newham,16.97,21.73,36.01,25.29
E12000007,London,E09000026,Redbridge,33.22,32.73,25.16,8.890000000000001
E12000007,London,E09000027,Richmond upon Thames,34.08,30.55,23.72,11.65
E12000007,London,E09000028,Southwark,13.02,20.48,25.73,40.77
E12000007,London,E09000029,Sutton,32.98,34.96,17.8,14.26
E12000007,London,E09000030,Tower Hamlets,11.81,17.94,34.46,35.79
E12000007,London,E09000031,Waltham Forest,23.97,27.62,27.07,21.34
E12000007,London,E09000032,Wandsworth,22.51,25.98,32.42,19.09
E12000007,London,E09000033,Westminster,22.24,13.96,42.13,21.67
E12000008,South East,E06000035,Medway,35.29,36.75,20.52,7.44
E12000008,South East,E06000036,Bracknell Forest,29.34,38.62,15.14,16.9
E12000008,South East,E06000037,West Berkshire,35.29,34.19,16.59,13.93
E12000008,South East,E06000038,Reading,26.62,29.96,27.33,16.09
E12000008,South East,E06000039,Slough,23.08,31.72,26.38,18.82
E12000008,South East,E06000040,Windsor and Maidenhead,36.86,31.65,19.28,12.21
E12000008,South East,E06000041,Wokingham,40.15,39.04,13.66,7.15
E12000008,South East,E06000042,Milton Keynes,25.24,36.07,19.12,19.57
E12000008,South East,E06000043,Brighton and Hove,27.45,27.52,30.75,14.28
E12000008,South East,E06000044,Portsmouth,27.63,27.63,25.8,18.94
E12000008,South East,E06000045,Southampton,25.53,26.02,26.24,22.21
E12000008,South East,E06000046,Isle of Wight,44.38,26.16,19.41,10.05
E12000008,South East,E06000060,Buckinghamshire,37.99,33.35,15.32,13.34
E12000008,South East,E07000061,Eastbourne,37.13,25.65,24.63,12.59
E12000008,South East,E07000062,Hastings,30.84,25.69,29.6,13.87
E12000008,South East,E07000063,Lewes,43.37,29.29,16.8,10.54
E12000008,South East,E07000064,Rother,48.41,25.4,16.54,9.65
E12000008,South East,E07000065,Wealden,45.79,32.24,14.02,7.95
E12000008,South East,E07000084,Basingstoke and Deane,32.07,35.04,14.34,18.55
E12000008,South East,E07000085,East Hampshire,40.82,32.58,14.4,12.2
E12000008,South East,E07000086,Eastleigh,37.25,35.86,14.52,12.37
E12000008,South East,E07000087,Fareham,42.91,35.64,12.15,9.300000000000001
E12000008,South East,E07000088,Gosport,33.34,32.03,18.31,16.32
E12000008,South East,E07000089,Hart,38.98,36.83,14.18,10.01
E12000008,South East,E07000090,Havant,39.16,29.78,12.2,18.86
E12000008,South East,E07000091,New Forest,46.71,28.08,14.55,10.66
E12000008,South East,E07000092,Rushmoor,25.89,34.37,18.49,21.25
E12000008,South East,E07000093,Test Valley,37.63,31.14,15.51,15.72
E12000008,South East,E07000094,Winchester,38.69,29.27,17.16,14.88
E12000008,South East,E07000105,Ashford,36.02,33.05,17.06,13.87
E12000008,South East,E07000106,Canterbury,39.35,27.69,21.73,11.23
E12000008,South East,E07000107,Dartford,32.34,35.97,18.5,13.19
E12000008,South East,E07000108,Dover,39.26,28.17,19.75,12.82
E12000008,South East,E07000109,Gravesham,34.45,30.11,18.3,17.14
E12000008,South East,E07000110,Maidstone,36.81,33.28,16.9,13.01
E12000008,South East,E07000111,Sevenoaks,41.27,31.97,13.6,13.16
E12000008,South East,E07000112,Folkestone and Hythe,38.92,26.44,23.84,10.8
E12000008,South East,E07000113,Swale,35.69,33.13,17.69,13.49
E12000008,South East,E07000114,Thanet,37.2,25.73,25.22,11.85
E12000008,South East,E07000115,Tonbridge and Malling,36.75,34.66,12.65,15.94
E12000008,South East,E07000116,Tunbridge Wells,36.14,30.31,19.4,14.15
E12000008,South East,E07000177,Cherwell,34.55,33.5,18.68,13.27
E12000008,South East,E07000178,Oxford,27.28,21.82,29.27,21.63
E12000008,South East,E07000179,South Oxfordshire,40.79,31.63,15.93,11.65
E12000008,South East,E07000180,Vale of White Horse,39.6,30.91,16.43,13.06
E12000008,South East,E07000181,West Oxfordshire,38.39,31.7,17.66,12.25
E12000008,South East,E07000207,Elmbridge,38.48,34.34,17.6,9.58
E12000008,South East,E07000208,Epsom and Ewell,40.91,35.36,15.43,8.300000000000001
E12000008,South East,E07000209,Guildford,37.57,31.57,18.09,12.77
E12000008,South East,E07000210,Mole Valley,42.97,30.93,14.57,11.53
E12000008,South East,E07000211,Reigate and Banstead,37.53,35.58,15.22,11.67
E12000008,South East,E07000212,Runnymede,36.43,31.87,17.45,14.25
E12000008,South East,E07000213,Spelthorne,37.79,34.35,14.87,12.99
E12000008,South East,E07000214,Surrey Heath,38.47,36.32,14.35,10.86
E12000008,South East,E07000215,Tandridge,40.2,34.96,13.68,11.16
E12000008,South East,E07000216,Waverley,41.68,32.21,14.37,11.74
E12000008,South East,E07000217,Woking,35.88,34.54,17.88,11.7
E12000008,South East,E07000223,Adur,41.64,31.75,13.89,12.72
E12000008,South East,E07000224,Arun,45.78,27.71,17.32,9.19
E12000008,South East,E07000225,Chichester,43.26,24.2,17.71,14.83
E12000008,South East,E07000226,Crawley,26.54,33.66,17.18,22.62
E12000008,South East,E07000227,Horsham,41.21,32.83,14.55,11.41
E12000008,South East,E07000228,Mid Sussex,38.71,33.56,15.05,12.68
E12000008,South East,E07000229,Worthing,38.8,30.65,21.1,9.449999999999999
E12000009,South West,E06000022,Bath and North East Somerset,38.11,27.68,20.06,14.15
E12000009,South West,E06000023,"Bristol, City of",27.65,26.03,26.14,20.18
E12000009,South West,E06000024,North Somerset,40.12,31.49,19.22,9.17
E12000009,South West,E06000025,South Gloucestershire,37.84,34.63,16.71,10.82
E12000009,South West,E06000026,Plymouth,30.11,27.45,22.59,19.85
E12000009,South West,E06000027,Torbay,39.25,26.99,25.54,8.220000000000001
E12000009,South West,E06000030,Swindon,29.75,35.24,19.2,15.81
E12000009,South West,E06000052,Cornwall,42.63,25.71,20.13,11.53
E12000009,South West,E06000054,Wiltshire,37.19,29.66,18.97,14.18
E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",36.6,28,25.12,10.28
E12000009,South West,E06000059,Dorset,45.09,25.88,17.14,11.89
E12000009,South West,E07000040,East Devon,48.93,24.62,16.84,9.609999999999999
E12000009,South West,E07000041,Exeter,32.94,26.34,23.56,17.16
E12000009,South West,E07000042,Mid Devon,40.37,28.31,19.26,12.06
E12000009,South West,E07000043,North Devon,41.77,26.04,21.7,10.49
E12000009,South West,E07000044,South Hams,45.79,26.34,17.78,10.09
E12000009,South West,E07000045,Teignbridge,43.49,28.85,18.51,9.15
E12000009,South West,E07000046,Torridge,45.41,25.52,20.54,8.529999999999999
E12000009,South West,E07000047,West Devon,46.13,25.73,18.33,9.81
E12000009,South West,E07000078,Cheltenham,35.2,28.42,24.02,12.36
E12000009,South West,E07000079,Cotswold,40.52,25.32,19.91,14.25
E12000009,South West,E07000080,Forest of Dean,43.32,28.9,14.56,13.22
E12000009,South West,E07000081,Gloucester,32.44,32.9,20.08,14.58
E12000009,South West,E07000082,Stroud,41.23,30.67,15.41,12.69
E12000009,South West,E07000083,Tewkesbury,41.23,31.1,15.49,12.18
E12000009,South West,E07000187,Mendip,40.38,28.52,18.82,12.28
E12000009,South West,E07000188,Sedgemoor,40.14,29.16,17.63,13.07
E12000009,South West,E07000189,South Somerset,40.75,27.73,16.6,14.92
E12000009,South West,E07000246,Somerset West and Taunton,39.98,25.95,18.91,15.16
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
